song,band,album,era,breakdown_density,vocal_style,electronic_production,guitar_complexity,dropped_tuning,lyrical_theme,popularity_metric,metric_source
Suicide Season,Bring Me The Horizon,Suicide Season,underground,3+,screaming_heavy,none,high,yes,aggression,21733277,spotify_streams
Throne,Bring Me The Horizon,That's the Spirit,mainstream,0,clean_only,prominent,low,no,personal,670215475,spotify_streams
Hollow Crown,Architects,Hollow Crown,underground,1-2,screaming_heavy,none,high,yes,aggression,4066590,spotify_streams
Animals,Architects,For Those That Wish to Exist,mainstream,1-2,mixed,subtle,medium,yes,social,170153527,spotify_streams
Exit Wounds,Bad Omens,Bad Omens,underground,1-2,mixed,subtle,medium,yes,aggression,23875903,spotify_streams
Just Pretend,Bad Omens,THE DEATH OF PEACE OF MIND,mainstream,1-2,clean_only,prominent,low,yes,personal,430884366,spotify_streams
The Offering,Sleep Token,Sundowning,crossover,1-2,mixed,prominent,medium,yes,personal,85625443,spotify_streams
The Summoning,Sleep Token,Take Me Back to Eden,mainstream,1-2,mixed,prominent,medium,yes,pop_romance,311930172,spotify_streams
Quantum Flux,Northlane,Singularity,underground,3+,screaming_heavy,none,high,yes,aggression,28140686,spotify_streams
Talking Heads,Northlane,Alien,crossover,1-2,mixed,prominent,medium,yes,personal,11324851,spotify_streams
Not the American Average,Asking Alexandria,Stand Up and Scream,underground,3+,mixed,subtle,high,yes,aggression,125092185,spotify_streams
Into the Fire,Asking Alexandria,Asking Alexandria,mainstream,0,clean_only,prominent,low,no,personal,84932262,spotify_streams
Second & Sebring,Of Mice & Men,Of Mice & Men,underground,3+,screaming_heavy,none,medium,yes,aggression,126896807,spotify_streams
Defy,Of Mice & Men,Defy,crossover,1-2,mixed,subtle,medium,yes,personal,9651505,spotify_streams
Creatures,Motionless In White,Creatures,underground,3+,screaming_heavy,subtle,medium,yes,aggression,10902335,spotify_streams
Slaughterhouse,Motionless In White,Scoring the End of the World,mainstream,1-2,mixed,prominent,medium,yes,personal,66134567,spotify_streams
Tears Don't Fall,Bullet For My Valentine,The Poison,underground,1-2,mixed,none,high,yes,personal,454261486,spotify_streams
Knives,Bullet For My Valentine,Gravity,mainstream,0,clean_only,prominent,low,yes,personal,24323708,spotify_streams
To Plant a Seed,We Came As Romans,To Plant A Seed,underground,3+,mixed,subtle,medium,yes,social,16755999,spotify_streams
Cold Like War,We Came As Romans,Cold Like War,crossover,1-2,mixed,prominent,medium,yes,personal,40886940,spotify_streams
Sleepwalking,Memphis May Fire,Sleepwalking,underground,3+,screaming_heavy,none,medium,yes,social,1027150,spotify_streams
Sell My Soul,Memphis May Fire,Broken,mainstream,1-2,clean_only,subtle,low,no,social,2096697,spotify_streams
The Fallout,Crown The Empire,The Fallout,crossover,1-2,mixed,subtle,medium,yes,personal,29102608,spotify_streams
Zero,Crown The Empire,Retrograde,mainstream,0,clean_only,prominent,low,no,pop_romance,14084273,spotify_streams
Carrion,Parkway Drive,Horizons,underground,3+,screaming_heavy,none,high,yes,personal,88926590,spotify_streams
Prey,Parkway Drive,Reverence,mainstream,0,clean_only,prominent,medium,yes,social,102260728,spotify_streams
When a Demon Defiles a Witch,Whitechapel,The Valley,underground,3+,mixed,subtle,high,yes,personal,13871502,spotify_streams
Holy Roller,Spiritbox,Eternal Blue,underground,3+,mixed,subtle,high,yes,aggression,61864625,spotify_streams
Jaded,Spiritbox,Rule of Nines,mainstream,0,clean_only,prominent,low,yes,personal,79781934,spotify_streams
Eradication,All Shall Perish,The Price of Existence,underground,3+,screaming_heavy,none,high,yes,aggression,2697703,spotify_streams
Awaken the Dreamers,All Shall Perish,Awaken the Dreamers,underground,3+,screaming_heavy,none,high,yes,social,2072921,spotify_streams
Writing on the Walls,Underoath,Define the Great Line,underground,3+,mixed,none,high,yes,personal,60601786,spotify_streams
On My Teeth,Underoath,Erase Me,crossover,1-2,mixed,prominent,medium,yes,personal,15713658,spotify_streams
The Element of One,Killswitch Engage,Alive or Just Breathing,underground,3+,mixed,none,high,yes,personal,7593498,spotify_streams
My Curse,Killswitch Engage,As Daylight Dies,mainstream,0,mixed,subtle,medium,yes,personal,306439985,spotify_streams
Lifelines,I Prevail,Lifelines,underground,3+,mixed,none,high,yes,personal,71088352,spotify_streams
Bow Down,I Prevail,Trauma,crossover,3+,mixed,subtle,high,yes,aggression,154148452,spotify_streams
Bad Things,I Prevail,TRUE POWER,mainstream,0,clean_only,prominent,low,yes,personal,71496182,spotify_streams
The Downfall Of Us All,A Day To Remember,Homesick,underground,3+,mixed,none,high,yes,aggression,281238203,spotify_streams
All I Want,A Day To Remember,What Separates Me from You,crossover,1-2,mixed,subtle,medium,yes,personal,232291868,spotify_streams
Mindreader,A Day To Remember,You're Welcome,mainstream,0,clean_only,prominent,low,no,personal,73436686,spotify_streams
Pull Harder on the Strings of Your Martyr,Trivium,Ascendancy,underground,3+,mixed,none,high,yes,aggression,32899930,spotify_streams
In Waves,Trivium,In Waves,crossover,1-2,mixed,subtle,high,yes,personal,97568011,spotify_streams
The Heart from Your Hate,Trivium,The Sin and the Sentence,mainstream,0,clean_only,subtle,high,yes,social,117403677,spotify_streams
Four Walls,While She Sleeps,Brainwashed,underground,3+,screaming_heavy,none,high,yes,aggression,26363865,spotify_streams
Silence Speaks,While She Sleeps,Sleeps Society,crossover,1-2,mixed,prominent,medium,yes,personal,75007924,spotify_streams
